PMT ID, Time, Charge
6, 335.878924, 2.177734
9, 357.837667, 1.513672
12, 334.067709, 0.742188
18, 343.485040, 1.479492
21, 345.129357, 1.933594
25, 335.631649, 2.324219
49, 335.343181, 1.855469
54, 345.122185, 1.787109
55, 343.455800, 2.841797
61, 335.971607, 1.801758
62, 349.568896, 1.420898
63, 337.632736, 1.811523
65, 335.881566, 5.405273
67, 318.942929, 3.813477
68, 337.750709, 2.119141
72, 337.012947, 2.954102
73, 336.721580, 13.095703
75, 336.902289, 2.890625
81, 337.927800, 3.930664
83, 336.912361, 6.562500
85, 337.104364, 5.527344
86, 337.730277, 6.064453
87, 337.787500, 2.910156
88, 336.726625, 6.010742
94, 336.958000, 5.004883
96, 337.666930, 7.128906
97, 337.276870, 5.703125
103, 337.954695, 1.108398
104, 336.207401, 3.808594
105, 337.820155, 0.952148
106, 339.769903, 1.684570
108, 371.733741, 2.265625
110, 336.376690, 1.577148
115, 334.536151, 1.943359
116, 335.530663, 1.958008
117, 337.712842, 2.387695
124, 336.202012, 2.500000
139, 335.240674, 2.739258
152, 339.088100, 1.450195
170, 348.689485, 1.894531
187, 346.660978, 2.250977
208, 366.573564, 2.583008
3, 335.450124, 1.357422
6, 336.255141, 1.909180
9, 344.906714, 1.245117
10, 339.929820, 1.806641
23, 342.571351, 2.529297
27, 359.816410, 3.002930
52, 337.029323, 5.561523
55, 336.140190, 1.298828
61, 371.751241, 2.812500
62, 336.303054, 1.411133
65, 337.174700, 1.787109
67, 336.739207, 4.985352
71, -163.650300, 1.962891
73, 337.678387, 3.105469
74, 337.010020, 6.206055
75, 336.493864, 4.194336
78, 336.857255, 2.299805
80, 336.994225, 10.932617
81, 337.127185, 7.719727
83, 339.193411, 1.777344
85, 338.310454, 4.023437
86, 336.631357, 5.278320
87, 337.331076, 6.816406
88, 336.796283, 3.520508
96, 336.582522, 12.607422
97, 337.750085, 3.212891
101, 336.930917, 3.671875
102, 336.018976, 5.361328
103, 366.220600, 1.782227
104, 336.777774, 3.212891
108, 335.631702, 1.513672
109, 338.015162, 3.349609
116, 335.220267, 0.961914
163, 380.023769, 2.421875
164, 345.183436, 3.637695
210, 344.601685, 1.601562
219, 336.556836, 2.519531
1, 346.409000, 3.208008
2, 335.032591, 3.735352
6, 336.314931, 1.713867
8, 334.809771, 1.538086
13, 335.994992, 1.616211
14, 329.285216, 2.568359
18, 335.660330, 1.547852
20, 336.802779, 1.962891
54, 335.854176, 2.265625
60, 336.282333, 1.567383
61, 336.260828, 4.033203
62, 336.048123, 2.041016
63, 337.843120, 1.801758
67, 336.772408, 6.103516
71, 337.555809, 4.375000
72, 337.048438, 3.125000
73, 337.347670, 4.975586
74, 338.981573, 2.207031
75, 336.632284, 3.632813
80, 337.568326, 2.006836
81, 337.079969, 11.396484
83, 337.739673, 2.753906
85, 338.810150, 4.907227
86, 338.677400, 4.096680
87, 337.499491, 2.363281
88, 338.181335, 6.606445
94, 340.079528, 6.132812
96, 337.254187, 6.059570
97, 337.636114, 2.353516
101, 337.118789, 3.276367
102, 337.310600, 2.045898
110, 334.965310, 2.177734
112, 365.164067, 2.207031
124, 337.064029, 1.279297
131, 342.882919, 3.701172
143, 351.674022, 2.685547
159, -101.837367, 2.246094
179, 345.474024, 4.921875
195, 344.511646, 2.314453
203, 344.313339, 1.835937
213, 335.750121, 1.689453
218, 346.039859, 1.962891
240, 349.729196, 0.888672
2, 360.306167, 1.494141
6, 336.441659, 2.246094
8, 336.268500, 1.416016
13, 339.591095, 1.337891
14, 345.358468, 2.294922
18, 336.866100, 0.947266
20, 369.073903, 1.997070
22, 342.911267, 1.904297
23, 334.153265, 3.320313
32, 353.557520, 1.113281
42, 347.629409, 2.670898
